Iteration, Request to decryption time
1701, 417687
1702, 437925
1703, 419387
1704, 445584
1705, 478744
1706, 413899
1707, 429235
1708, 410570
1709, 424947
1710, 421388
1711, 420187
1712, 426458
1713, 436205
1714, 425326
1715, 413063
1716, 431361
1717, 482127
1718, 425651
1719, 419636
1720, 418629
1721, 419825
1722, 434841
1723, 422300
1724, 428364
1725, 443887
1726, 421180
1727, 423435
1728, 418310
1729, 458193
1730, 432717
1731, 431495
1732, 415721
1733, 461488
1734, 426464
1735, 421135
1736, 418027
1737, 424015
1738, 466267
1739, 421579
1740, 427603
1741, 463487
1742, 428873
1743, 432233
1744, 427837
1745, 742396
1746, 420985
1747, 423724
1748, 423810
1749, 429107
1750, 429756
1751, 410934
1752, 421326
1753, 470794
1754, 426022
1755, 433148
1756, 407562
1757, 426024
1758, 423506
1759, 416773
1760, 435033
1761, 435956
1762, 419302
1763, 413858
1764, 437558
1765, 449918
1766, 424502
1767, 413462
1768, 419784
1769, 433363
1770, 436955
1771, 419100
1772, 420900
1773, 444743
1774, 422606
1775, 453425
1776, 431097
1777, 470600
1778, 428773
1779, 447748
1780, 445401
1781, 431335
1782, 434327
1783, 433402
1784, 419992
1785, 434360
1786, 418345
1787, 421362
1788, 437284
1789, 457603
1790, 1798325
1791, 419688
1792, 422875
1793, 425328
1794, 427056
1795, 411868
1796, 412473
1797, 424639
1798, 435220
1799, 4960678
1800, 497675
1801, 480672
1802, 426239
1803, 2461189
1804, 427772
1805, 435664
1806, 436369
1807, 546918
1808, 417123
1809, 414486
1810, 448821
1811, 422078
1812, 420034
1813, 579360
1814, 814298
1815, 429024
1816, 426671
1817, 418716
1818, 536654
1819, 423377
1820, 428412
1821, 417360
1822, 425559
1823, 422955
1824, 417379
1825, 466974
1826, 415450
1827, 453836
1828, 420742
1829, 413436
1830, 3297671
1831, 442623
1832, 421385
1833, 419010
1834, 413829
1835, 419737
1836, 439418
1837, 478824
1838, 416831
1839, 430563
1840, 421348
1841, 440294
1842, 430036
1843, 441296
1844, 433991
1845, 420226
1846, 419285
1847, 468135
1848, 418525
1849, 489842
1850, 439683
1851, 439001
1852, 421727
1853, 428975
1854, 443055
1855, 424788
1856, 421959
1857, 418872
1858, 435316
1859, 425195
1860, 411818
1861, 459564
1862, 450921
1863, 444116
1864, 414810
1865, 440733
1866, 448253
1867, 467657
1868, 432704
1869, 425163
1870, 423744
1871, 448080
1872, 750540
1873, 463907
1874, 428242
1875, 429984
1876, 419253
1877, 430999
1878, 416150
1879, 451560
1880, 426505
1881, 431519
1882, 429733
1883, 432455
1884, 424335
1885, 466736
1886, 420300
1887, 417552
1888, 437916
1889, 428992
1890, 423788
1891, 413927
1892, 423143
1893, 416847
1894, 447390
1895, 428365
1896, 418794
1897, 464612
1898, 426643
1899, 423737
1900, 441494
1901, 424430
1902, 420804
1903, 417725
1904, 415726
1905, 454422
1906, 430371
1907, 415698
1908, 417368
1909, 461329
1910, 420003
1911, 411555
1912, 414253
1913, 420503
1914, 421829
1915, 416999
1916, 442933
1917, 427113
1918, 439760
1919, 414389
1920, 422624
1921, 479268
1922, 420297
1923, 420722
1924, 420426
1925, 416972
1926, 421262
1927, 421239
1928, 416900
1929, 436726
1930, 439390
1931, 2202474
1932, 431500
1933, 563339
1934, 425570
1935, 424397
1936, 426544
1937, 439199
1938, 429222
1939, 424950
1940, 437916
1941, 425404
1942, 425674
1943, 414532
1944, 418269
1945, 482327
1946, 429645
1947, 424324
1948, 423090
1949, 423136
1950, 423571
1951, 424552
1952, 420986
1953, 421124
1954, 451141
1955, 417864
1956, 421988
1957, 483630
1958, 417292
1959, 419310
1960, 441284
1961, 422009
1962, 433440
1963, 433973
1964, 419126
1965, 455349
1966, 414531
1967, 413365
1968, 410075
1969, 455443
1970, 441064
1971, 411447
1972, 417379
1973, 429629
1974, 425381
1975, 419038
1976, 420954
1977, 439698
1978, 419353
1979, 430039
1980, 438712
1981, 484212
1982, 414484
1983, 419088
1984, 416864
1985, 420399
1986, 426821
1987, 433022
1988, 419387
1989, 448815
1990, 4052355
1991, 425491
1992, 439902
1993, 455367
1994, 440768
1995, 417952
1996, 443873
1997, 413817
1998, 452782
1999, 433385
2000, 416545
2001, 421803
2002, 544639
2003, 415017
2004, 413196
2005, 455230
2006, 412266
2007, 420003
2008, 435868
2009, 426370
2010, 429634
2011, 425370
2012, 438824
2013, 430340
2014, 585594
2015, 419300
2016, 424964
2017, 463628
2018, 457760
2019, 421913
2020, 417469
2021, 419374
2022, 428843
2023, 433506
2024, 442327
2025, 427718
2026, 498604
2027, 422356
2028, 438817
2029, 468642
2030, 447971
2031, 427282
2032, 422563
2033, 437144
2034, 459597
2035, 430016
2036, 430508
2037, 2906469
2038, 420677
2039, 424885
2040, 416687
2041, 483211
2042, 433809
2043, 410659
2044, 417637
2045, 424866
2046, 417405
2047, 429674
2048, 426166
2049, 448620
2050, 426145
2051, 436344
2052, 421599
2053, 460903
2054, 436343
2055, 423036
2056, 420607
2057, 426550
2058, 448219
2059, 412837
2060, 440993
2061, 424603
2062, 425284
2063, 424556
2064, 419904
2065, 460253
2066, 419806
2067, 443266
2068, 413651
2069, 417605
2070, 422104
2071, 409391
2072, 420792
2073, 431187
2074, 426168
2075, 417654
2076, 415721
2077, 537525
2078, 426373
2079, 424560
2080, 421230
2081, 411527
2082, 430804
2083, 426110
2084, 417051
2085, 423514
2086, 430807
2087, 427130
2088, 414382
2089, 464830
2090, 421305
2091, 418166
2092, 412892
2093, 413500
2094, 439202
2095, 412407
2096, 411935
2097, 426877
2098, 418641
2099, 437810
2100, 421469
2101, 481084
2102, 421663
2103, 417773
2104, 413645
2105, 415815
2106, 408525
2107, 415775
2108, 435974
2109, 838548
2110, 434226
2111, 416830
2112, 437265
2113, 478937
2114, 417251
2115, 438963
2116, 427454
2117, 443211
2118, 413374
2119, 413525
2120, 418492
2121, 425193
2122, 422114
2123, 422749
2124, 424269
